"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,18,3.03653157440283,1.07357603377365,1.31095880717316,1.51098676029575,2.26073945202669,2.91098976051563,3.67588472624999,4.99058283811585,5.47436364039638
13,19,3.87467075939875,1.11852110298002,2.00209892210181,2.23575364652093,3.07346190480978,3.76758879326236,4.55938159232123,5.87901025577604,6.35511825940426
14,20,3.37969301971613,0.975633337355702,1.74633670109784,1.95014272493289,2.68083622869183,3.28629045832152,3.97693406708481,5.12798406834675,5.54327068143255
15,21,4.5166583986347,1.06458659399259,2.67685801788495,2.9193432874926,3.76049940141834,4.43329755051046,5.1820644998041,6.39840620624705,6.82985165225201
16,22,4.31700089228109,0.990387927822536,2.59911654282051,2.82694309016571,3.61430281330999,4.24150480909027,4.9375023990222,6.06465243427585,6.46363191885878
17,23,4.57605687798687,0.97561860447082,2.86779048255531,3.09793612213079,3.88581391364464,4.50691255244422,5.19100564459917,6.29009038708738,6.67703498491101
18,24,4.59510518115134,0.937971917353336,2.94417059435183,3.16852389754959,3.93258930830098,4.53144426374181,5.1882916161569,6.23888620517521,6.60762586621994
19,25,4.23316069220493,0.864090307925744,2.71226593077312,2.91894750754285,3.62282947227641,4.17451417975662,4.77962337386777,5.74746535840341,6.08716035498244
20,26,3.565726480264,0.760215439920455,2.23462180129089,2.41395445017015,3.02787966555095,3.51184827045996,4.04490302014998,4.90132497355639,5.20283752806419
21,27,3.41124639710285,0.711294043696207,2.16243759564264,2.33143824634899,2.90843683619983,3.36193745007505,3.86035877779578,4.65928948390773,4.94011725584044
22,28,3.24501463921983,0.662385839495853,2.07914210935177,2.23757803726489,2.77715294261852,3.20005797320325,3.66391662067511,4.40583539877701,4.66623544425569
23,29,3.3220901885024,0.639336554868026,2.18927836729962,2.34491692681816,2.87148715479479,3.28116796614197,3.72812220441345,4.43887947217334,4.68734917879633
24,30,3.36077584555287,0.613590913775936,2.26750135013567,2.41908412651516,2.92912992744206,3.32350855376347,3.75182794317209,4.42961148090192,4.66574689529867
25,31,3.5780609026883,0.604802679116955,2.49225051913147,2.64466125600447,3.15371974573063,3.5440424315957,3.96534281278676,4.62751768858582,4.85712486000916
