"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,17,1.04907516806856,0.524537584034278,0.285837675002284,0.358342675426372,0.664935369351675,0.963066936814675,1.34004337442248,2.03354213129672,2.29938211728571
12,18,1.84541918251948,0.652454209045628,0.796721019021835,0.918285841480539,1.37393992099986,1.76912250458972,2.23397913716282,3.03297267811966,3.32698522196707
13,19,1.24501896798148,0.508276865273523,0.456900018514256,0.542208820023283,0.875499285300829,1.17657637190983,1.54023409648224,2.18148797873911,2.42121579391059
14,20,1.14356111805064,0.466856871485117,0.419666775725212,0.498023677059324,0.804153966565144,1.08069597808182,1.41471886833065,2.00371632572431,2.22390847973606
15,21,1.06966384207476,0.436688434898026,0.392547777838558,0.46584123177917,0.752189286535044,1.01086106705015,1.32329929399296,1.87423555205841,2.08019882042873
16,22,2.20182231892052,0.610675636179152,1.17237765270767,1.3023911619692,1.76513583867822,2.14562996020987,2.57736559336051,3.29300639136666,3.55028352300206
17,23,2.9348910346978,0.691760450892806,1.73940243083787,1.89696755553999,2.44354454225392,2.88072377558461,3.36726697026681,4.15763676454825,4.43798680647834
18,24,3.80666595004497,0.777032433236428,2.43900270196528,2.62486092422453,3.25782614875191,3.75392812640483,4.29807202567227,5.1684030609056,5.47387348144957
19,25,3.10430024462446,0.694142636954953,1.89618723687145,2.05732090995796,2.6122915440888,3.05271801574308,3.54014505590187,4.32727652163343,4.60536190002449
20,26,4.25210738835984,0.803572764110035,2.82549447952474,3.02213047644007,3.68612190514238,4.20159559633655,4.76307548376725,5.65441627422456,5.96564325558274
21,27,4.72379430615983,0.835056746704005,3.23107180851898,3.43913668745364,4.13701116613657,4.6746802804027,5.25707675542531,6.17601125410788,6.49551617286706
22,28,4.68360439587434,0.815310874657607,3.22397775967634,3.42792849152432,4.11099818659124,4.63638115752087,5.20476840855421,6.10038815731333,6.41149279819358
23,29,4.43980916833145,0.772871572913754,3.05616034277284,3.24949484599096,3.89700877723564,4.39504403684752,4.93384507873813,5.7828452153385,6.07775595504729
24,30,4.01810127318697,0.710306664441202,2.74837829637059,2.92536012512268,3.51897833742798,3.97632444789873,4.47171604755759,5.25336987069655,5.52514358429405
